epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,framework
1,5.2926,2.1172,43.08,145.71,1,128,AxoNN
2,3.6624,1.5445,49.93,145.71,1,128,AxoNN
3,3.651,1.3785,54.72,145.71,1,128,AxoNN
4,3.6809,1.2276,60.09,145.71,1,128,AxoNN
5,3.6678,1.0913,62.84,145.71,1,128,AxoNN
6,3.6787,0.9858,67.77,145.71,1,128,AxoNN
7,3.6032,0.8829,70.29,145.71,1,128,AxoNN
8,3.6413,0.7907,73.1,145.71,1,128,AxoNN
9,3.6165,0.713,74.76,145.71,1,128,AxoNN
10,3.6333,0.6621,76.93,145.71,1,128,AxoNN
