epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,framework
1,4.4636,2.5457,30.72,145.46,2,128,AxoNN
2,2.7118,1.7909,38.4,145.46,2,128,AxoNN
3,2.7095,1.6006,44.37,145.46,2,128,AxoNN
4,2.7123,1.4701,48.05,145.46,2,128,AxoNN
5,2.7109,1.3558,49.36,145.46,2,128,AxoNN
6,2.7124,1.236,57.71,145.46,2,128,AxoNN
7,2.7031,1.1322,61.72,145.46,2,128,AxoNN
8,2.7137,1.0406,63.42,145.46,2,128,AxoNN
9,2.7159,0.9579,66.34,145.46,2,128,AxoNN
10,2.7118,0.9086,68.06,145.46,2,128,AxoNN
