epoch,epoch_time_s,train_loss,test_loss,test_acc,mem_alloc_mb,mem_reserved_mb,num_gpus,batch_size
1,5.6357,2.1043,1.5394,43.47,189.16,270.0,1,128
2,4.5067,1.4967,1.3252,52.32,189.16,270.0,1,128
3,4.6053,1.2904,1.1778,58.48,189.16,270.0,1,128
4,4.8563,1.1179,1.09,62.18,189.16,270.0,1,128
5,4.5796,0.9973,1.0161,64.76,189.16,270.0,1,128
6,4.6151,0.9069,0.8371,70.5,189.16,270.0,1,128
7,4.6691,0.8099,0.7879,72.57,189.16,270.0,1,128
8,4.7676,0.7247,0.7247,74.63,189.16,270.0,1,128
9,4.8717,0.6483,0.6609,76.91,189.16,270.0,1,128
10,4.7867,0.5955,0.615,78.39,189.16,270.0,1,128
