epoch,epoch_time_s,train_loss,test_loss,test_acc,mem_alloc_mb,mem_reserved_mb,num_gpus,batch_size
1,4.8686,2.1819,1.6508,43.08,189.53,270.0,2,128
2,3.1883,1.5591,1.3462,51.37,189.53,270.0,2,128
3,3.0568,1.3194,1.3848,55.88,189.53,270.0,2,128
4,3.0672,1.157,1.2413,58.29,189.53,270.0,2,128
5,3.051,1.0335,1.0618,62.28,189.53,270.0,2,128
6,3.0969,0.9311,0.9436,67.7,189.53,270.0,2,128
7,3.0108,0.8549,0.9601,67.45,189.53,270.0,2,128
8,3.0615,0.7895,0.8541,71.91,189.53,270.0,2,128
9,3.0445,0.7323,0.7388,74.4,189.53,270.0,2,128
10,3.1026,0.6952,0.7028,75.48,189.53,270.0,2,128
