timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/03 13:53:20.425, NVIDIA A40, 59.22 W, 37, 0 %, 0 MiB
2026/04/03 13:53:20.426, NVIDIA A40, 43.80 W, 31, 0 %, 0 MiB
2026/04/03 13:53:25.427, NVIDIA A40, 22.19 W, 35, 0 %, 0 MiB
2026/04/03 13:53:25.427, NVIDIA A40, 29.64 W, 31, 0 %, 0 MiB
2026/04/03 13:53:30.428, NVIDIA A40, 74.80 W, 37, 0 %, 749 MiB
2026/04/03 13:53:30.428, NVIDIA A40, 29.54 W, 31, 0 %, 3 MiB
2026/04/03 13:53:35.428, NVIDIA A40, 75.54 W, 37, 1 %, 937 MiB
2026/04/03 13:53:35.428, NVIDIA A40, 29.54 W, 31, 0 %, 3 MiB
2026/04/03 13:53:40.429, NVIDIA A40, 107.32 W, 39, 1 %, 937 MiB
2026/04/03 13:53:40.429, NVIDIA A40, 29.54 W, 31, 0 %, 3 MiB
2026/04/03 13:53:45.429, NVIDIA A40, 116.81 W, 41, 24 %, 937 MiB
2026/04/03 13:53:45.429, NVIDIA A40, 57.53 W, 31, 0 %, 3 MiB
2026/04/03 13:53:50.429, NVIDIA A40, 114.47 W, 41, 27 %, 937 MiB
2026/04/03 13:53:50.430, NVIDIA A40, 29.43 W, 31, 0 %, 3 MiB
2026/04/03 13:53:55.430, NVIDIA A40, 132.08 W, 43, 47 %, 937 MiB
2026/04/03 13:53:55.430, NVIDIA A40, 29.49 W, 30, 0 %, 3 MiB
2026/04/03 13:54:00.430, NVIDIA A40, 132.72 W, 43, 46 %, 937 MiB
2026/04/03 13:54:00.431, NVIDIA A40, 29.51 W, 30, 0 %, 3 MiB
2026/04/03 13:54:05.431, NVIDIA A40, 133.59 W, 43, 40 %, 937 MiB
2026/04/03 13:54:05.431, NVIDIA A40, 29.41 W, 30, 0 %, 3 MiB
2026/04/03 13:54:10.432, NVIDIA A40, 133.99 W, 44, 45 %, 937 MiB
2026/04/03 13:54:10.432, NVIDIA A40, 29.36 W, 30, 0 %, 3 MiB
2026/04/03 13:54:15.432, NVIDIA A40, 136.03 W, 44, 47 %, 937 MiB
2026/04/03 13:54:15.432, NVIDIA A40, 29.31 W, 30, 0 %, 3 MiB
2026/04/03 13:54:20.433, NVIDIA A40, 136.59 W, 44, 48 %, 937 MiB
2026/04/03 13:54:20.433, NVIDIA A40, 29.36 W, 30, 0 %, 3 MiB
2026/04/03 13:54:25.433, NVIDIA A40, 129.17 W, 44, 43 %, 937 MiB
2026/04/03 13:54:25.433, NVIDIA A40, 29.36 W, 30, 0 %, 3 MiB
2026/04/03 13:54:30.433, NVIDIA A40, 78.49 W, 42, 0 %, 0 MiB
2026/04/03 13:54:30.434, NVIDIA A40, 29.32 W, 30, 0 %, 0 MiB
2026/04/03 13:54:35.434, NVIDIA A40, 77.92 W, 40, 0 %, 613 MiB
2026/04/03 13:54:35.434, NVIDIA A40, 73.54 W, 31, 0 %, 613 MiB
2026/04/03 13:54:40.434, NVIDIA A40, 115.34 W, 43, 47 %, 761 MiB
2026/04/03 13:54:40.435, NVIDIA A40, 106.27 W, 35, 70 %, 761 MiB
2026/04/03 13:54:45.435, NVIDIA A40, 118.79 W, 44, 46 %, 761 MiB
2026/04/03 13:54:45.435, NVIDIA A40, 116.94 W, 36, 74 %, 761 MiB
2026/04/03 13:54:50.435, NVIDIA A40, 127.98 W, 44, 50 %, 761 MiB
2026/04/03 13:54:50.436, NVIDIA A40, 126.77 W, 37, 71 %, 761 MiB
2026/04/03 13:54:55.436, NVIDIA A40, 100.56 W, 43, 0 %, 761 MiB
2026/04/03 13:54:55.436, NVIDIA A40, 95.57 W, 37, 60 %, 761 MiB
2026/04/03 13:55:00.436, NVIDIA A40, 126.96 W, 44, 55 %, 761 MiB
2026/04/03 13:55:00.437, NVIDIA A40, 121.02 W, 39, 61 %, 761 MiB
2026/04/03 13:55:05.437, NVIDIA A40, 129.96 W, 45, 53 %, 761 MiB
2026/04/03 13:55:05.437, NVIDIA A40, 123.26 W, 39, 58 %, 761 MiB
2026/04/03 13:55:10.437, NVIDIA A40, 108.46 W, 43, 13 %, 761 MiB
2026/04/03 13:55:10.438, NVIDIA A40, 97.54 W, 39, 53 %, 761 MiB
2026/04/03 13:55:15.438, NVIDIA A40, 79.42 W, 42, 0 %, 0 MiB
2026/04/03 13:55:15.438, NVIDIA A40, 77.40 W, 38, 0 %, 0 MiB
2026/04/03 13:55:20.438, NVIDIA A40, 57.70 W, 40, 0 %, 0 MiB
2026/04/03 13:55:20.438, NVIDIA A40, 57.60 W, 36, 0 %, 0 MiB
2026/04/03 13:55:25.439, NVIDIA A40, 76.71 W, 40, 0 %, 43965 MiB
2026/04/03 13:55:25.439, NVIDIA A40, 76.68 W, 37, 0 %, 43965 MiB
2026/04/03 13:55:30.439, NVIDIA A40, 76.35 W, 40, 0 %, 43965 MiB
2026/04/03 13:55:30.439, NVIDIA A40, 76.08 W, 37, 0 %, 43965 MiB
2026/04/03 13:55:35.441, NVIDIA A40, 76.33 W, 39, 0 %, 43967 MiB
2026/04/03 13:55:35.442, NVIDIA A40, 76.57 W, 37, 0 %, 43965 MiB
2026/04/03 13:55:40.442, NVIDIA A40, 75.94 W, 39, 0 %, 43979 MiB
2026/04/03 13:55:40.442, NVIDIA A40, 76.29 W, 37, 0 %, 43979 MiB
