timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:23:25.708, NVIDIA A40, 56.93 W, 33, 0 %, 0 MiB
2026/04/28 14:23:25.709, NVIDIA A40, 56.06 W, 34, 0 %, 0 MiB
2026/04/28 14:23:30.709, NVIDIA A40, 24.59 W, 31, 0 %, 0 MiB
2026/04/28 14:23:30.709, NVIDIA A40, 21.51 W, 32, 0 %, 0 MiB
2026/04/28 14:23:35.709, NVIDIA A40, 21.69 W, 31, 0 %, 0 MiB
2026/04/28 14:23:35.710, NVIDIA A40, 21.45 W, 32, 0 %, 0 MiB
2026/04/28 14:23:40.710, NVIDIA A40, 74.77 W, 33, 1 %, 874 MiB
2026/04/28 14:23:40.710, NVIDIA A40, 22.21 W, 32, 0 %, 3 MiB
2026/04/28 14:23:45.710, NVIDIA A40, 181.65 W, 40, 98 %, 1126 MiB
2026/04/28 14:23:45.710, NVIDIA A40, 21.45 W, 31, 0 %, 3 MiB
2026/04/28 14:23:50.711, NVIDIA A40, 144.25 W, 40, 96 %, 1126 MiB
2026/04/28 14:23:50.711, NVIDIA A40, 21.50 W, 31, 0 %, 3 MiB
2026/04/28 14:23:55.711, NVIDIA A40, 182.32 W, 43, 98 %, 1126 MiB
2026/04/28 14:23:55.711, NVIDIA A40, 21.49 W, 30, 0 %, 3 MiB
2026/04/28 14:24:00.712, NVIDIA A40, 188.61 W, 44, 99 %, 1126 MiB
2026/04/28 14:24:00.712, NVIDIA A40, 21.48 W, 30, 0 %, 3 MiB
2026/04/28 14:24:05.712, NVIDIA A40, 166.59 W, 45, 98 %, 1126 MiB
2026/04/28 14:24:05.713, NVIDIA A40, 21.38 W, 30, 0 %, 3 MiB
2026/04/28 14:24:10.713, NVIDIA A40, 164.82 W, 45, 56 %, 1126 MiB
2026/04/28 14:24:10.713, NVIDIA A40, 21.43 W, 30, 0 %, 3 MiB
