timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:16.820, NVIDIA A40, 60.65 W, 34, 0 %, 0 MiB
2026/04/28 14:34:16.820, NVIDIA A40, 61.54 W, 35, 0 %, 0 MiB
2026/04/28 14:34:21.821, NVIDIA A40, 60.68 W, 34, 0 %, 0 MiB
2026/04/28 14:34:21.821, NVIDIA A40, 61.37 W, 34, 0 %, 0 MiB
2026/04/28 14:34:26.821, NVIDIA A40, 61.96 W, 33, 0 %, 44 MiB
2026/04/28 14:34:26.821, NVIDIA A40, 64.74 W, 34, 0 %, 3 MiB
2026/04/28 14:34:31.822, NVIDIA A40, 129.90 W, 37, 99 %, 1126 MiB
2026/04/28 14:34:31.822, NVIDIA A40, 61.36 W, 34, 0 %, 3 MiB
2026/04/28 14:34:36.822, NVIDIA A40, 118.12 W, 37, 79 %, 1126 MiB
2026/04/28 14:34:36.822, NVIDIA A40, 61.33 W, 34, 0 %, 3 MiB
2026/04/28 14:34:41.823, NVIDIA A40, 130.57 W, 38, 99 %, 1126 MiB
2026/04/28 14:34:41.823, NVIDIA A40, 61.22 W, 34, 0 %, 3 MiB
2026/04/28 14:34:46.823, NVIDIA A40, 109.45 W, 37, 75 %, 1126 MiB
2026/04/28 14:34:46.823, NVIDIA A40, 61.38 W, 34, 0 %, 3 MiB
2026/04/28 14:34:51.824, NVIDIA A40, 130.82 W, 40, 99 %, 1126 MiB
2026/04/28 14:34:51.824, NVIDIA A40, 61.42 W, 34, 0 %, 3 MiB
2026/04/28 14:34:56.824, NVIDIA A40, 107.94 W, 40, 99 %, 1126 MiB
2026/04/28 14:34:56.824, NVIDIA A40, 61.53 W, 34, 0 %, 3 MiB
2026/04/28 14:35:01.825, NVIDIA A40, 131.10 W, 41, 99 %, 1126 MiB
2026/04/28 14:35:01.825, NVIDIA A40, 61.42 W, 34, 0 %, 3 MiB
