timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:16.804, NVIDIA A40, 39.71 W, 30, 0 %, 0 MiB
2026/04/28 14:34:16.805, NVIDIA A40, 58.18 W, 32, 0 %, 0 MiB
2026/04/28 14:34:21.805, NVIDIA A40, 21.68 W, 29, 0 %, 0 MiB
2026/04/28 14:34:21.805, NVIDIA A40, 30.35 W, 31, 0 %, 0 MiB
2026/04/28 14:34:26.806, NVIDIA A40, 21.70 W, 29, 0 %, 0 MiB
2026/04/28 14:34:26.806, NVIDIA A40, 30.46 W, 31, 0 %, 0 MiB
2026/04/28 14:34:31.806, NVIDIA A40, 78.22 W, 33, 0 %, 757 MiB
2026/04/28 14:34:31.806, NVIDIA A40, 75.65 W, 33, 0 %, 757 MiB
2026/04/28 14:34:36.807, NVIDIA A40, 119.44 W, 37, 56 %, 757 MiB
2026/04/28 14:34:36.807, NVIDIA A40, 118.19 W, 36, 55 %, 757 MiB
2026/04/28 14:34:41.807, NVIDIA A40, 119.73 W, 38, 57 %, 757 MiB
2026/04/28 14:34:41.808, NVIDIA A40, 120.25 W, 37, 65 %, 757 MiB
2026/04/28 14:34:46.808, NVIDIA A40, 110.17 W, 38, 27 %, 757 MiB
2026/04/28 14:34:46.808, NVIDIA A40, 108.73 W, 37, 26 %, 757 MiB
2026/04/28 14:34:51.808, NVIDIA A40, 117.88 W, 39, 54 %, 757 MiB
2026/04/28 14:34:51.809, NVIDIA A40, 115.08 W, 39, 46 %, 757 MiB
2026/04/28 14:34:56.809, NVIDIA A40, 123.42 W, 41, 62 %, 757 MiB
2026/04/28 14:34:56.809, NVIDIA A40, 125.17 W, 39, 69 %, 757 MiB
2026/04/28 14:35:01.809, NVIDIA A40, 113.69 W, 40, 29 %, 757 MiB
2026/04/28 14:35:01.810, NVIDIA A40, 114.07 W, 39, 26 %, 757 MiB
2026/04/28 14:35:06.810, NVIDIA A40, 115.32 W, 41, 63 %, 757 MiB
2026/04/28 14:35:06.810, NVIDIA A40, 116.25 W, 41, 60 %, 757 MiB
