timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/27 23:20:46.716, NVIDIA A40, 22.00 W, 30, 0 %, 0 MiB
2026/04/27 23:20:46.717, NVIDIA A40, 58.72 W, 31, 0 %, 0 MiB
2026/04/27 23:20:51.717, NVIDIA A40, 21.91 W, 29, 0 %, 0 MiB
2026/04/27 23:20:51.717, NVIDIA A40, 25.92 W, 30, 0 %, 0 MiB
2026/04/27 23:20:56.718, NVIDIA A40, 39.89 W, 30, 0 %, 0 MiB
2026/04/27 23:20:56.718, NVIDIA A40, 22.32 W, 30, 0 %, 0 MiB
2026/04/27 23:21:01.718, NVIDIA A40, 39.95 W, 30, 0 %, 3 MiB
2026/04/27 23:21:01.718, NVIDIA A40, 40.14 W, 31, 0 %, 3 MiB
2026/04/27 23:21:06.719, NVIDIA A40, 22.00 W, 29, 0 %, 3 MiB
2026/04/27 23:21:06.719, NVIDIA A40, 29.45 W, 30, 0 %, 3 MiB
2026/04/27 23:21:11.719, NVIDIA A40, 21.95 W, 29, 0 %, 3 MiB
2026/04/27 23:21:11.719, NVIDIA A40, 22.25 W, 30, 0 %, 3 MiB
2026/04/27 23:21:16.720, NVIDIA A40, 21.91 W, 29, 0 %, 3 MiB
2026/04/27 23:21:16.720, NVIDIA A40, 22.21 W, 29, 0 %, 3 MiB
2026/04/27 23:21:21.720, NVIDIA A40, 21.96 W, 29, 0 %, 3 MiB
2026/04/27 23:21:21.720, NVIDIA A40, 22.30 W, 29, 0 %, 3 MiB
2026/04/27 23:21:26.721, NVIDIA A40, 21.91 W, 29, 0 %, 3 MiB
2026/04/27 23:21:26.794, NVIDIA A40, 22.20 W, 29, 0 %, 3 MiB
2026/04/27 23:21:32.035, NVIDIA A40, 21.91 W, 29, 0 %, 3 MiB
2026/04/27 23:21:32.035, NVIDIA A40, 22.50 W, 29, 0 %, 3 MiB
2026/04/27 23:21:37.035, NVIDIA A40, 21.93 W, 29, 0 %, 3 MiB
2026/04/27 23:21:37.035, NVIDIA A40, 22.30 W, 29, 0 %, 3 MiB
2026/04/27 23:21:42.036, NVIDIA A40, 21.89 W, 29, 0 %, 3 MiB
2026/04/27 23:21:42.125, NVIDIA A40, 22.24 W, 29, 0 %, 3 MiB
2026/04/27 23:21:47.126, NVIDIA A40, 21.94 W, 29, 0 %, 3 MiB
2026/04/27 23:21:47.126, NVIDIA A40, 22.49 W, 30, 0 %, 3 MiB
2026/04/27 23:21:52.126, NVIDIA A40, 21.90 W, 29, 0 %, 3 MiB
2026/04/27 23:21:52.126, NVIDIA A40, 22.19 W, 29, 0 %, 3 MiB
2026/04/27 23:21:57.127, NVIDIA A40, 21.86 W, 29, 0 %, 3 MiB
2026/04/27 23:21:57.127, NVIDIA A40, 22.21 W, 29, 0 %, 3 MiB
2026/04/27 23:22:02.128, NVIDIA A40, 21.96 W, 29, 0 %, 3 MiB
2026/04/27 23:22:02.128, NVIDIA A40, 22.21 W, 29, 0 %, 3 MiB
2026/04/27 23:22:07.128, NVIDIA A40, 21.91 W, 28, 0 %, 3 MiB
2026/04/27 23:22:07.128, NVIDIA A40, 22.26 W, 29, 0 %, 3 MiB
2026/04/27 23:22:12.129, NVIDIA A40, 39.95 W, 29, 0 %, 3 MiB
2026/04/27 23:22:12.129, NVIDIA A40, 22.25 W, 28, 0 %, 3 MiB
