timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 12:13:33.323, NVIDIA A40, 21.50 W, 28, 0 %, 0 MiB
2026/04/28 12:13:33.323, NVIDIA A40, 21.45 W, 27, 0 %, 0 MiB
2026/04/28 12:13:38.324, NVIDIA A40, 21.45 W, 28, 0 %, 0 MiB
2026/04/28 12:13:38.324, NVIDIA A40, 21.44 W, 27, 0 %, 0 MiB
2026/04/28 12:13:43.324, NVIDIA A40, 70.93 W, 31, 0 %, 43965 MiB
2026/04/28 12:13:43.324, NVIDIA A40, 71.76 W, 30, 0 %, 43965 MiB
2026/04/28 12:13:48.325, NVIDIA A40, 71.88 W, 32, 0 %, 43967 MiB
2026/04/28 12:13:48.325, NVIDIA A40, 72.45 W, 31, 0 %, 43965 MiB
2026/04/28 12:13:53.325, NVIDIA A40, 74.29 W, 32, 3 %, 43983 MiB
2026/04/28 12:13:53.325, NVIDIA A40, 75.64 W, 31, 10 %, 43983 MiB
2026/04/28 12:13:58.326, NVIDIA A40, 217.27 W, 41, 93 %, 44567 MiB
2026/04/28 12:13:58.326, NVIDIA A40, 220.25 W, 40, 91 %, 44567 MiB
2026/04/28 12:14:03.326, NVIDIA A40, 219.14 W, 43, 93 %, 44567 MiB
2026/04/28 12:14:03.326, NVIDIA A40, 218.89 W, 42, 92 %, 44567 MiB
2026/04/28 12:14:08.327, NVIDIA A40, 101.69 W, 40, 0 %, 44567 MiB
2026/04/28 12:14:08.327, NVIDIA A40, 92.59 W, 38, 0 %, 44567 MiB
2026/04/28 12:14:13.327, NVIDIA A40, 227.59 W, 46, 93 %, 44567 MiB
2026/04/28 12:14:13.327, NVIDIA A40, 222.38 W, 44, 92 %, 44567 MiB
2026/04/28 12:14:18.328, NVIDIA A40, 223.70 W, 48, 92 %, 44567 MiB
2026/04/28 12:14:18.328, NVIDIA A40, 220.77 W, 47, 92 %, 44567 MiB
2026/04/28 12:14:23.328, NVIDIA A40, 137.15 W, 44, 1 %, 44567 MiB
2026/04/28 12:14:23.328, NVIDIA A40, 126.73 W, 42, 0 %, 44567 MiB
2026/04/28 12:14:28.329, NVIDIA A40, 224.64 W, 51, 92 %, 44567 MiB
2026/04/28 12:14:28.329, NVIDIA A40, 224.44 W, 50, 92 %, 44567 MiB
2026/04/28 12:14:33.329, NVIDIA A40, 228.91 W, 52, 96 %, 44567 MiB
2026/04/28 12:14:33.329, NVIDIA A40, 227.97 W, 51, 93 %, 44567 MiB
2026/04/28 12:14:38.329, NVIDIA A40, 225.93 W, 52, 93 %, 44567 MiB
2026/04/28 12:14:38.330, NVIDIA A40, 230.49 W, 51, 93 %, 44567 MiB
2026/04/28 12:14:43.330, NVIDIA A40, 222.01 W, 53, 92 %, 44567 MiB
2026/04/28 12:14:43.330, NVIDIA A40, 226.72 W, 52, 93 %, 44567 MiB
2026/04/28 12:14:48.330, NVIDIA A40, 126.68 W, 51, 43 %, 44567 MiB
2026/04/28 12:14:48.331, NVIDIA A40, 115.50 W, 49, 93 %, 44567 MiB
2026/04/28 12:14:53.331, NVIDIA A40, 229.37 W, 54, 92 %, 44567 MiB
2026/04/28 12:14:53.331, NVIDIA A40, 226.39 W, 54, 91 %, 44567 MiB
2026/04/28 12:14:58.331, NVIDIA A40, 226.39 W, 55, 93 %, 44567 MiB
2026/04/28 12:14:58.331, NVIDIA A40, 224.53 W, 55, 93 %, 44567 MiB
2026/04/28 12:15:03.332, NVIDIA A40, 227.25 W, 55, 94 %, 44567 MiB
2026/04/28 12:15:03.332, NVIDIA A40, 225.36 W, 55, 93 %, 44567 MiB
2026/04/28 12:15:08.332, NVIDIA A40, 225.57 W, 56, 93 %, 44567 MiB
2026/04/28 12:15:08.332, NVIDIA A40, 230.34 W, 56, 93 %, 44567 MiB
2026/04/28 12:15:13.333, NVIDIA A40, 85.29 W, 51, 0 %, 44567 MiB
2026/04/28 12:15:13.394, NVIDIA A40, 120.24 W, 50, 0 %, 44567 MiB
2026/04/28 12:15:18.395, NVIDIA A40, 226.11 W, 57, 93 %, 44567 MiB
2026/04/28 12:15:18.395, NVIDIA A40, 230.62 W, 57, 92 %, 44567 MiB
2026/04/28 12:15:23.395, NVIDIA A40, 228.62 W, 58, 93 %, 44567 MiB
2026/04/28 12:15:23.395, NVIDIA A40, 234.31 W, 58, 93 %, 44567 MiB
2026/04/28 12:15:28.396, NVIDIA A40, 227.52 W, 58, 93 %, 44567 MiB
2026/04/28 12:15:28.396, NVIDIA A40, 228.17 W, 58, 93 %, 44567 MiB
2026/04/28 12:15:33.548, NVIDIA A40, 234.09 W, 59, 92 %, 44567 MiB
2026/04/28 12:15:33.548, NVIDIA A40, 234.99 W, 59, 93 %, 44567 MiB
2026/04/28 12:15:38.549, NVIDIA A40, 139.77 W, 55, 0 %, 44567 MiB
2026/04/28 12:15:38.549, NVIDIA A40, 148.26 W, 54, 0 %, 44567 MiB
2026/04/28 12:15:43.549, NVIDIA A40, 238.26 W, 60, 93 %, 44567 MiB
2026/04/28 12:15:43.549, NVIDIA A40, 238.49 W, 60, 93 %, 44567 MiB
2026/04/28 12:15:48.550, NVIDIA A40, 230.29 W, 60, 93 %, 44567 MiB
2026/04/28 12:15:48.550, NVIDIA A40, 231.88 W, 60, 89 %, 44567 MiB
2026/04/28 12:15:53.550, NVIDIA A40, 233.97 W, 60, 96 %, 44567 MiB
2026/04/28 12:15:53.550, NVIDIA A40, 231.92 W, 60, 95 %, 44567 MiB
2026/04/28 12:15:58.551, NVIDIA A40, 238.59 W, 61, 92 %, 44567 MiB
2026/04/28 12:15:58.551, NVIDIA A40, 232.96 W, 61, 93 %, 44567 MiB
2026/04/28 12:16:03.551, NVIDIA A40, 148.48 W, 56, 0 %, 44567 MiB
2026/04/28 12:16:03.551, NVIDIA A40, 142.75 W, 55, 0 %, 44567 MiB
