timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:19.770, NVIDIA A40, 63.03 W, 38, 0 %, 0 MiB
2026/04/28 14:34:19.770, NVIDIA A40, 21.75 W, 28, 0 %, 0 MiB
2026/04/28 14:34:24.771, NVIDIA A40, 62.94 W, 38, 0 %, 0 MiB
2026/04/28 14:34:24.771, NVIDIA A40, 21.94 W, 28, 0 %, 0 MiB
2026/04/28 14:34:29.771, NVIDIA A40, 62.88 W, 38, 0 %, 0 MiB
2026/04/28 14:34:29.771, NVIDIA A40, 21.70 W, 28, 0 %, 0 MiB
2026/04/28 14:34:34.771, NVIDIA A40, 62.78 W, 37, 0 %, 0 MiB
2026/04/28 14:34:34.772, NVIDIA A40, 21.70 W, 28, 0 %, 0 MiB
2026/04/28 14:34:39.772, NVIDIA A40, 62.78 W, 37, 0 %, 0 MiB
2026/04/28 14:34:39.772, NVIDIA A40, 21.90 W, 28, 0 %, 0 MiB
2026/04/28 14:34:44.772, NVIDIA A40, 62.92 W, 37, 0 %, 43965 MiB
2026/04/28 14:34:44.773, NVIDIA A40, 71.42 W, 30, 0 %, 43965 MiB
2026/04/28 14:34:49.773, NVIDIA A40, 63.03 W, 37, 0 %, 43967 MiB
2026/04/28 14:34:49.773, NVIDIA A40, 71.74 W, 31, 0 %, 43965 MiB
2026/04/28 14:34:54.773, NVIDIA A40, 62.55 W, 37, 0 %, 43967 MiB
2026/04/28 14:34:54.773, NVIDIA A40, 71.75 W, 31, 0 %, 43965 MiB
2026/04/28 14:34:59.774, NVIDIA A40, 156.13 W, 41, 93 %, 44567 MiB
2026/04/28 14:34:59.774, NVIDIA A40, 192.54 W, 39, 90 %, 44567 MiB
2026/04/28 14:35:04.774, NVIDIA A40, 156.30 W, 43, 92 %, 44567 MiB
2026/04/28 14:35:04.774, NVIDIA A40, 215.25 W, 42, 92 %, 44567 MiB
2026/04/28 14:35:09.775, NVIDIA A40, 167.03 W, 44, 93 %, 44567 MiB
2026/04/28 14:35:09.775, NVIDIA A40, 217.37 W, 44, 93 %, 44567 MiB
2026/04/28 14:35:14.775, NVIDIA A40, 106.29 W, 42, 93 %, 44567 MiB
2026/04/28 14:35:14.775, NVIDIA A40, 143.15 W, 43, 92 %, 44567 MiB
2026/04/28 14:35:19.776, NVIDIA A40, 163.07 W, 44, 97 %, 44567 MiB
2026/04/28 14:35:19.776, NVIDIA A40, 223.35 W, 47, 90 %, 44567 MiB
2026/04/28 14:35:24.776, NVIDIA A40, 162.84 W, 45, 97 %, 44567 MiB
2026/04/28 14:35:24.777, NVIDIA A40, 212.05 W, 49, 91 %, 44567 MiB
2026/04/28 14:35:29.777, NVIDIA A40, 165.87 W, 45, 95 %, 44567 MiB
2026/04/28 14:35:29.777, NVIDIA A40, 216.84 W, 49, 92 %, 44567 MiB
2026/04/28 14:35:34.778, NVIDIA A40, 162.13 W, 46, 93 %, 44567 MiB
2026/04/28 14:35:34.778, NVIDIA A40, 224.87 W, 52, 92 %, 44567 MiB
2026/04/28 14:35:39.778, NVIDIA A40, 149.91 W, 44, 0 %, 44567 MiB
2026/04/28 14:35:39.778, NVIDIA A40, 220.54 W, 50, 83 %, 44567 MiB
2026/04/28 14:35:44.779, NVIDIA A40, 167.72 W, 47, 93 %, 44567 MiB
2026/04/28 14:35:44.779, NVIDIA A40, 221.59 W, 53, 93 %, 44567 MiB
2026/04/28 14:35:49.779, NVIDIA A40, 167.85 W, 47, 93 %, 44567 MiB
2026/04/28 14:35:49.779, NVIDIA A40, 214.45 W, 54, 92 %, 44567 MiB
2026/04/28 14:35:54.780, NVIDIA A40, 91.69 W, 44, 0 %, 44567 MiB
2026/04/28 14:35:54.780, NVIDIA A40, 127.55 W, 48, 0 %, 44567 MiB
2026/04/28 14:35:59.780, NVIDIA A40, 159.99 W, 48, 92 %, 44567 MiB
2026/04/28 14:35:59.780, NVIDIA A40, 221.59 W, 55, 93 %, 44567 MiB
2026/04/28 14:36:04.781, NVIDIA A40, 163.29 W, 49, 96 %, 44567 MiB
2026/04/28 14:36:04.781, NVIDIA A40, 225.57 W, 56, 93 %, 44567 MiB
2026/04/28 14:36:09.781, NVIDIA A40, 168.43 W, 49, 97 %, 44567 MiB
2026/04/28 14:36:09.781, NVIDIA A40, 213.33 W, 56, 92 %, 44567 MiB
2026/04/28 14:36:14.781, NVIDIA A40, 167.50 W, 49, 96 %, 44567 MiB
2026/04/28 14:36:14.782, NVIDIA A40, 220.42 W, 57, 90 %, 44567 MiB
2026/04/28 14:36:19.782, NVIDIA A40, 165.14 W, 50, 92 %, 44567 MiB
2026/04/28 14:36:19.782, NVIDIA A40, 228.81 W, 58, 94 %, 44567 MiB
2026/04/28 14:36:24.782, NVIDIA A40, 167.07 W, 50, 96 %, 44567 MiB
2026/04/28 14:36:24.783, NVIDIA A40, 220.24 W, 59, 92 %, 44567 MiB
2026/04/28 14:36:29.783, NVIDIA A40, 162.33 W, 51, 92 %, 44567 MiB
2026/04/28 14:36:29.783, NVIDIA A40, 227.23 W, 60, 96 %, 44567 MiB
2026/04/28 14:36:34.783, NVIDIA A40, 109.56 W, 49, 0 %, 44567 MiB
2026/04/28 14:36:34.784, NVIDIA A40, 150.45 W, 56, 0 %, 44567 MiB
2026/04/28 14:36:39.784, NVIDIA A40, 163.69 W, 51, 93 %, 44567 MiB
2026/04/28 14:36:39.784, NVIDIA A40, 217.91 W, 61, 93 %, 44567 MiB
2026/04/28 14:36:44.784, NVIDIA A40, 162.20 W, 51, 93 %, 44567 MiB
2026/04/28 14:36:44.785, NVIDIA A40, 225.40 W, 61, 96 %, 44567 MiB
2026/04/28 14:36:49.785, NVIDIA A40, 164.32 W, 51, 92 %, 44567 MiB
2026/04/28 14:36:49.785, NVIDIA A40, 213.17 W, 60, 88 %, 44567 MiB
2026/04/28 14:36:54.785, NVIDIA A40, 167.49 W, 52, 93 %, 44567 MiB
2026/04/28 14:36:54.785, NVIDIA A40, 230.61 W, 61, 95 %, 44567 MiB
2026/04/28 14:36:59.786, NVIDIA A40, 163.03 W, 52, 97 %, 44567 MiB
2026/04/28 14:36:59.786, NVIDIA A40, 237.28 W, 62, 96 %, 44567 MiB
2026/04/28 14:37:04.786, NVIDIA A40, 168.59 W, 52, 94 %, 44567 MiB
2026/04/28 14:37:04.786, NVIDIA A40, 225.84 W, 62, 95 %, 44567 MiB
2026/04/28 14:37:09.787, NVIDIA A40, 163.77 W, 52, 93 %, 44567 MiB
2026/04/28 14:37:09.787, NVIDIA A40, 219.51 W, 62, 92 %, 44567 MiB
2026/04/28 14:37:14.787, NVIDIA A40, 118.58 W, 51, 65 %, 44567 MiB
2026/04/28 14:37:14.788, NVIDIA A40, 166.46 W, 61, 62 %, 44567 MiB
