epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,precision,temperature,alpha
1,7.6131,1.6356,45.12,462.51,1,128,Distillation,4.0,0.7
2,7.4334,1.1135,52.96,462.51,1,128,Distillation,4.0,0.7
3,7.6292,1.0052,58.71,462.51,1,128,Distillation,4.0,0.7
4,7.3284,0.9252,62.27,462.51,1,128,Distillation,4.0,0.7
5,7.3851,0.8622,65.82,462.51,1,128,Distillation,4.0,0.7
6,7.4158,0.8093,69.7,462.51,1,128,Distillation,4.0,0.7
7,7.3963,0.7659,71.43,462.51,1,128,Distillation,4.0,0.7
8,7.3566,0.7128,73.86,462.51,1,128,Distillation,4.0,0.7
9,7.4173,0.681,76.45,462.51,1,128,Distillation,4.0,0.7
10,7.4346,0.6534,77.68,462.51,1,128,Distillation,4.0,0.7
