epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,phase,precision,batch_size
1,5.8345,2.0158,42.92,146.46,FP32_training,INT8_PTQ,128
2,3.6805,1.4795,50.07,146.46,FP32_training,INT8_PTQ,128
3,3.6503,1.277,56.15,146.46,FP32_training,INT8_PTQ,128
4,3.6813,1.126,59.38,146.46,FP32_training,INT8_PTQ,128
5,3.6977,1.0186,63.63,146.46,FP32_training,INT8_PTQ,128
6,3.6771,0.9096,70.35,146.46,FP32_training,INT8_PTQ,128
7,3.6279,0.8243,71.46,146.46,FP32_training,INT8_PTQ,128
8,3.6306,0.7316,75.17,146.46,FP32_training,INT8_PTQ,128
9,3.6929,0.655,77.48,146.46,FP32_training,INT8_PTQ,128
10,3.669,0.5947,78.77,146.46,FP32_training,INT8_PTQ,128
10,0.0779,0.5947,78.76,0.0,INT8_quantized,INT8_PTQ,128
